duration,protocol_type,src_bytes,dst_bytes,flag,label
14,icmp,582,152,SF,0
31,tcp,9352,362,REJ,1
13,icmp,2520,300,SF,0
57,icmp,7603,28,S0,1
9,udp,2785,288,SF,0
23,icmp,9933,339,REJ,1
17,tcp,807,759,SF,0
92,tcp,7781,337,REJ,1
11,icmp,2906,2231,SF,0
5,udp,815,1667,SF,0
5,udp,917,1468,SF,0
65,tcp,9055,290,REJ,1
33,udp,5415,316,REJ,1
4,tcp,1707,1397,SF,0
2,icmp,1131,2414,SF,0
61,udp,4701,306,S0,1
86,icmp,5608,39,S0,1
90,tcp,6548,282,REJ,1
40,icmp,8763,329,S0,1
83,udp,3144,111,S0,1
43,udp,8551,167,S0,1
19,tcp,2150,2850,SF,0
89,udp,8778,303,REJ,1
62,icmp,3179,408,S0,1
82,icmp,6564,184,REJ,1
6,tcp,400,1556,SF,0
11,icmp,2550,2836,SF,0
2,udp,388,810,SF,0
11,icmp,366,1097,SF,0
17,tcp,2750,1971,SF,0
9,tcp,991,2791,SF,0
20,icmp,2270,329,SF,0
81,udp,8030,9,S0,1
22,udp,4233,104,REJ,1
68,udp,6342,157,S0,1
38,icmp,6292,226,S0,1
80,icmp,9868,186,S0,1
53,udp,4102,499,REJ,1
16,udp,2809,1661,SF,0
49,tcp,5688,351,REJ,1
10,icmp,221,1041,SF,0
59,tcp,8607,94,S0,1
3,icmp,524,528,SF,0
2,udp,1438,1673,SF,0
7,udp,2456,687,SF,0
90,icmp,3307,217,REJ,1
80,udp,7900,54,REJ,1
10,udp,702,328,SF,0
47,icmp,4295,191,REJ,1
82,tcp,4435,283,REJ,1
8,icmp,833,1311,SF,0
18,tcp,2378,1915,SF,0
99,tcp,4476,138,S0,1
22,icmp,4402,378,S0,1
7,icmp,1047,2113,SF,0
2,tcp,525,2854,SF,0
94,icmp,5367,445,S0,1
13,icmp,1597,1955,SF,0
43,tcp,9867,278,REJ,1
81,tcp,9263,37,REJ,1
10,icmp,2720,883,SF,0
96,udp,8766,39,S0,1
17,icmp,631,2488,SF,0
10,icmp,875,1244,SF,0
